Product Under Consideration ID,PUC,k = 1, k = 2,k = 3,k = 4,
6,cancelWithdraw,8,9,11,14
24,credit,10,10,10,12
4,cancelDeposit_interest,11,11,11,14
25,credit_interest,13,12,10,12
7,interest_cancelWithdraw,11,11,11,14
30,credit_cancelWithdraw,11,11,11,14
2,interest_interestEstimation,12,12,12,13
9,cancelWithdraw_dailyLimit,10,13,17,23
28,cancelDeposit_credit_interest,14,13,11,14
13,cancelDeposit_interest_cancelWithdraw,12,12,12,16
15,cancelDeposit_cancelWithdraw_dailyLimit,11,14,18,25
26,credit_interest_interestEstimation,15,14,12,13
36,cancelDeposit_credit_cancelWithdraw,12,12,12,16
8,interest_cancelWithdraw_interestEstimation,13,13,13,15
33,credit_cancelWithdraw_dailyLimit,13,15,17,23
14,cancelDeposit_interest_cancelWithdraw_interestEstimation,14,14,14,17
21,cancelDeposit_cancelWithdraw_dailyLimit_overdraft,13,17,21,29
39,cancelDeposit_credit_cancelWithdraw_dailyLimit,14,16,18,25
32,credit_interest_cancelWithdraw_interestEstimation,16,15,13,15
34,credit_interest_cancelWithdraw_dailyLimit,16,17,17,23
16,cancelDeposit_interest_cancelWithdraw_dailyLimit,14,16,18,25
19,interest_cancelWithdraw_dailyLimit_overdraft,15,18,20,27
40,cancelDeposit_credit_interest_cancelWithdraw_dailyLimit,17,18,18,25
22,cancelDeposit_interest_cancelWithdraw_dailyLimit_overdraft,16,19,21,29
38,cancelDeposit_credit_interest_cancelWithdraw_interestEstimation,17,16,14,17
17,cancelDeposit_interest_cancelWithdraw_dailyLimit_interestEstimation,16,18,20,26
35,credit_interest_cancelWithdraw_dailyLimit_interestEstimation,18,19,19,24
20,interest_cancelWithdraw_dailyLimit_interestEstimation_overdraft,17,20,22,28
23,cancelDeposit_interest_cancelWithdraw_dailyLimit_interestEstimation_overdraft,18,21,23,30
41,cancelDeposit_credit_interest_cancelWithdraw_dailyLimit_interestEstimation,19,20,20,26
