Scenario ID,Existing Product,EP Edge Size,Product Under Consideration,PUC Edge Size,Increment,Increment Edge Size,
0,baseProduct,17,addressbook,23,addressbook,10
1,baseProduct,17,autoresponder,22,autoresponder,7
2,baseProduct,17,forward,19,forward,4
3,baseProduct,17,encrypt,20,encrypt,5
4,baseProduct,17,sign,19,sign,4
5,addressbook,23,addressbook_autoresponder,28,autoresponder,7
6,addressbook,23,addressbook_forward,25,forward,4
7,addressbook,23,addressbook_encrypt,26,encrypt,5
8,addressbook,23,addressbook_sign,25,sign,4
9,autoresponder,22,addressbook_autoresponder,28,addressbook,10
10,autoresponder,22,autoresponder_forward,24,forward,4
11,autoresponder,22,autoresponder_encrypt,25,encrypt,5
12,autoresponder,22,autoresponder_sign,24,sign,4
16,forward,19,addressbook_forward,25,addressbook,10
17,forward,19,autoresponder_forward,24,autoresponder,7
18,forward,19,forward_sign,21,sign,4
24,encrypt,20,addressbook_encrypt,26,addressbook,10
25,encrypt,20,autoresponder_encrypt,25,autoresponder,7
26,encrypt,20,encrypt_sign,22,sign,4
32,sign,19,addressbook_sign,25,addressbook,10
33,sign,19,autoresponder_sign,24,autoresponder,7
34,sign,19,forward_sign,21,forward,4
35,sign,19,encrypt_sign,22,encrypt,5
13,addressbook_autoresponder,28,addressbook_autoresponder_forward,30,forward,4
14,addressbook_autoresponder,28,addressbook_autoresponder_encrypt,31,encrypt,5
15,addressbook_autoresponder,28,addressbook_autoresponder_sign,30,sign,4
19,addressbook_forward,25,addressbook_autoresponder_forward,30,autoresponder,7
20,addressbook_forward,25,addressbook_forward_sign,27,sign,4
21,autoresponder_forward,24,addressbook_autoresponder_forward,30,addressbook,10
22,autoresponder_forward,24,autoresponder_forward_sign,26,sign,4
27,addressbook_encrypt,26,addressbook_autoresponder_encrypt,31,autoresponder,7
28,addressbook_encrypt,26,addressbook_encrypt_sign,28,sign,4
29,autoresponder_encrypt,25,addressbook_autoresponder_encrypt,31,addressbook,10
30,autoresponder_encrypt,25,autoresponder_encrypt_sign,27,sign,4
36,addressbook_sign,25,addressbook_autoresponder_sign,30,autoresponder,7
37,addressbook_sign,25,addressbook_forward_sign,27,forward,4
38,addressbook_sign,25,addressbook_encrypt_sign,28,encrypt,5
39,autoresponder_sign,24,addressbook_autoresponder_sign,30,addressbook,10
40,autoresponder_sign,24,autoresponder_forward_sign,26,forward,4
41,autoresponder_sign,24,autoresponder_encrypt_sign,27,encrypt,5
44,forward_sign,21,addressbook_forward_sign,27,addressbook,10
45,forward_sign,21,autoresponder_forward_sign,26,autoresponder,7
48,encrypt_sign,22,addressbook_encrypt_sign,28,addressbook,10
49,encrypt_sign,22,autoresponder_encrypt_sign,27,autoresponder,7
23,addressbook_autoresponder_forward,30,addressbook_autoresponder_forward_sign,32,sign,4
31,addressbook_autoresponder_encrypt,31,addressbook_autoresponder_encrypt_sign,33,sign,4
42,addressbook_autoresponder_sign,30,addressbook_autoresponder_forward_sign,32,forward,4
43,addressbook_autoresponder_sign,30,addressbook_autoresponder_encrypt_sign,33,encrypt,5
46,addressbook_forward_sign,27,addressbook_autoresponder_forward_sign,32,autoresponder,7
47,autoresponder_forward_sign,26,addressbook_autoresponder_forward_sign,32,addressbook,10
50,addressbook_encrypt_sign,28,addressbook_autoresponder_encrypt_sign,33,autoresponder,7
51,autoresponder_encrypt_sign,27,addressbook_autoresponder_encrypt_sign,33,addressbook,10
